Clube,Vitórias_x,Sem derrotas,Sem vitórias,Perdeu,A zero,Cartões amarelos,Duplo amarelo,Cartões vermelhos,Duplo amarelo,Pontos_x,Jogos a perder,Vitórias_3,Empate_x,Derrotas_x,Pontos_3,Jogos com liderança,Vitórias,Empate_4,Derrotas_4,Destros,Canhotos,Cabeceio,Penalidade,Tiro livre,Total,Golos total,Marcadores diferentes,Plantel,ø-Idade,Estrangeiros,ø-valor de mercado,Valor de mercado total,Remates à baliza,Golos,Taxa
FC Porto,5,13,0,0,3,30,1,0,1,33,1,1,0,0,3,12,12,0,0,8,8,4,2,0,27,27,13,25,"25,4",18,"15,47 M €","386,80 M €",257,27,"10,5 %"
SC Braga,3,3,0,0,0,25,0,0,0,25,6,0,3,3,3,8,6,2,0,6,4,5,6,0,25,22,11,26,"25,5",16,"5,12 M €","133,00 M €",256,25,"9,8 %"
FC Alverca,2,3,0,0,2,27,2,0,2,33,8,1,1,6,4,6,5,1,0,6,1,2,2,0,15,14,8,30,"24,1",23,988 mil €,"29,63 M €",171,15,"8,8 %"
Rio Ave FC,1,3,0,0,0,35,1,1,2,43,6,1,2,3,5,8,3,5,0,8,2,2,2,0,17,17,4,30,"24,4",28,"1,42 M €","42,58 M €",169,17,"10,1 %"
CD Santa Clara,1,2,0,0,1,36,2,1,3,47,8,0,2,6,2,6,4,0,2,3,1,2,5,0,11,11,6,23,"27,1",17,"1,83 M €","41,98 M €",218,11,"5,0 %"
CF Estrela Amadora,1,1,0,0,0,28,1,1,2,36,9,1,3,5,6,4,3,0,1,5,4,2,3,1,16,16,7,28,"24,7",21,480 mil €,"13,45 M €",228,16,"7,0 %"
Sporting CP,0,9,1,0,0,29,0,1,1,34,4,3,0,1,9,12,10,2,0,10,11,6,3,0,32,31,10,25,"25,4",13,"18,26 M €","456,50 M €",342,32,"9,4 %"
SL Benfica,0,13,1,0,0,31,1,1,2,39,3,2,1,0,7,11,8,3,0,8,7,2,7,0,26,26,11,24,"24,9",16,"14,77 M €","354,50 M €",292,26,"8,9 %"
Gil Vicente FC,0,2,4,0,0,37,1,2,3,50,3,0,0,3,0,10,7,2,1,3,6,2,2,2,17,17,7,25,"24,6",17,"1,15 M €","28,70 M €",256,17,"6,6 %"
Vitória SC,0,3,1,0,3,29,0,1,1,34,8,2,1,5,7,6,5,1,0,4,1,5,2,0,14,14,10,26,"24,3",16,"1,02 M €","26,45 M €",236,14,"5,9 %"
FC Famalicão,0,0,3,1,0,38,1,0,1,41,4,0,1,3,1,8,5,2,1,4,4,4,0,1,14,14,10,28,"23,8",20,"2,25 M €","63,10 M €",236,14,"5,9 %"
Moreirense FC,0,2,3,0,0,36,1,1,2,44,8,1,2,5,5,9,6,1,2,9,4,6,0,0,21,21,12,26,"25,8",16,"1,05 M €","27,20 M €",166,21,"12,7 %"
GD Estoril Praia,0,1,2,0,0,38,0,0,0,38,10,1,4,5,7,8,3,4,1,9,8,1,2,0,22,20,10,26,"25,8",15,"1,55 M €","40,25 M €",243,22,"9,1 %"
CD Nacional,0,0,5,2,0,28,3,1,4,42,9,1,1,7,4,8,3,2,3,2,3,3,3,0,12,12,5,31,"26,0",23,599 mil €,"18,58 M €",209,12,"5,7 %"
Casa Pia AC,0,1,9,0,0,45,0,1,1,50,12,0,4,8,4,5,2,1,2,3,4,3,1,0,14,13,10,31,"26,8",22,902 mil €,"27,95 M €",163,14,"8,6 %"
CD Tondela,0,0,1,1,0,32,1,1,2,40,10,0,2,8,2,4,2,2,0,2,1,0,3,0,7,7,5,28,"26,2",19,822 mil €,"23,03 M €",219,7,"3,2 %"
FC Arouca,0,0,7,5,0,28,3,3,6,52,11,1,2,8,5,5,2,2,1,8,3,3,0,0,14,14,6,26,"24,8",20,935 mil €,"24,30 M €",172,14,"8,1 %"
Avs - Futebol SAD,0,0,13,2,0,26,1,1,2,34,13,0,3,10,3,3,0,2,1,5,4,0,0,0,9,9,7,30,"27,2",20,557 mil €,"16,70 M €",192,9,"4,7 %"
