League,Clube,Vitórias,Sem derrotas,Sem vitórias,Perdeu,A zero,Cartões amarelos,Cartões vermelhos,Duplo amarelo,Duplo amarelo.1,Pontos,Derrotas,Empate,Jogos a perder,Jogos com liderança,Cabeceio,Canhotos,Destros,Penalidade,Tiro livre,Total,Golos total,Marcadores diferentes,Estrangeiros,Plantel,Valor de mercado total,ø-Idade,ø-valor de mercado,Golos,Remates à baliza,Taxa
FR1,RC Lens,6.0,6.0,0.0,0.0,1.0,27,2,1,3,40,3.0,0.0,5.0,12.0,8.0,8.0,4.0,3.0,0.0,28.0,27.0,10.0,10.0,27.0,"109,15 M €","25,4","4,04 M €",28.0,309.0,"9,1 %"
FR1,LOSC Lille,4.0,4.0,0.0,0.0,0.0,36,4,0,4,56,4.0,1.0,8.0,11.0,4.0,12.0,14.0,3.0,0.0,33.0,33.0,14.0,19.0,27.0,"235,00 M €","26,5","8,70 M €",33.0,312.0,"10,6 %"
FR1,FC Paris Saint-Germain,2.0,2.0,0.0,0.0,0.0,18,0,0,0,18,2.0,1.0,3.0,14.0,5.0,6.0,19.0,3.0,1.0,35.0,35.0,17.0,15.0,24.0,"1,19 mil M €","23,8","49,52 M €",35.0,390.0,"9,0 %"
FR1,FC Toulouse,2.0,3.0,0.0,0.0,2.0,37,1,0,1,42,5.0,4.0,10.0,8.0,4.0,3.0,11.0,4.0,0.0,24.0,23.0,8.0,16.0,24.0,"103,95 M €","23,8","4,33 M €",24.0,278.0,"8,6 %"
FR1,Angers SCO,2.0,2.0,0.0,0.0,0.0,22,1,0,1,27,6.0,4.0,10.0,7.0,2.0,5.0,6.0,2.0,0.0,17.0,16.0,8.0,13.0,26.0,"52,50 M €","25,1","2,02 M €",17.0,197.0,"8,6 %"
FR1,Olympique Marselha,1.0,1.0,0.0,0.0,1.0,33,2,0,2,43,4.0,2.0,8.0,13.0,3.0,8.0,17.0,4.0,1.0,36.0,35.0,12.0,24.0,28.0,"397,80 M €","27,0","14,21 M €",36.0,311.0,"11,6 %"
FR1,Olympique Lyon,1.0,1.0,0.0,0.0,1.0,26,3,2,5,47,5.0,0.0,6.0,11.0,5.0,4.0,11.0,0.0,0.0,22.0,21.0,11.0,23.0,27.0,"193,20 M €","25,3","7,16 M €",22.0,274.0,"8,0 %"
FR1,Stade Rennais FC,1.0,1.0,0.0,0.0,0.0,25,3,1,4,43,3.0,1.0,6.0,12.0,5.0,7.0,12.0,2.0,0.0,27.0,26.0,10.0,8.0,22.0,"188,80 M €","25,8","8,58 M €",27.0,262.0,"10,3 %"
FR1,RC Estrasburgo,0.0,1.0,4.0,0.0,1.0,31,3,1,4,49,7.0,1.0,8.0,11.0,5.0,4.0,12.0,2.0,0.0,25.0,25.0,11.0,23.0,28.0,"317,45 M €","22,7","11,34 M €",25.0,246.0,"10,2 %"
FR1,AS Monaco,0.0,0.0,2.0,2.0,0.0,37,3,1,4,55,7.0,1.0,9.0,8.0,5.0,7.0,6.0,4.0,0.0,26.0,24.0,10.0,19.0,28.0,"339,55 M €","25,1","12,13 M €",26.0,286.0,"9,1 %"
FR1,Stade Brestois 29,0.0,0.0,1.0,1.0,0.0,26,2,1,3,39,7.0,2.0,10.0,8.0,2.0,6.0,6.0,5.0,0.0,21.0,20.0,10.0,11.0,25.0,"83,40 M €","25,0","3,34 M €",,,
FR1,FC Lorient,0.0,5.0,1.0,0.0,2.0,32,1,0,1,37,6.0,2.0,9.0,8.0,2.0,3.0,11.0,1.0,0.0,19.0,18.0,8.0,19.0,26.0,"73,05 M €","25,5","2,81 M €",19.0,273.0,"7,0 %"
FR1,OGC Nice,0.0,0.0,6.0,6.0,0.0,32,1,1,2,40,9.0,0.0,9.0,9.0,2.0,5.0,6.0,2.0,0.0,19.0,17.0,9.0,20.0,29.0,"153,00 M €","25,9","5,28 M €",19.0,245.0,"7,8 %"
FR1,Paris FC,0.0,0.0,5.0,1.0,0.0,29,1,1,2,37,8.0,2.0,11.0,6.0,1.0,5.0,11.0,3.0,0.0,21.0,21.0,11.0,14.0,28.0,"91,25 M €","28,9","3,26 M €",21.0,286.0,"7,3 %"
FR1,Le Havre AC,0.0,0.0,6.0,1.0,0.0,28,1,0,1,33,7.0,3.0,10.0,4.0,2.0,2.0,7.0,1.0,0.0,13.0,13.0,7.0,16.0,26.0,"50,30 M €","25,9","1,93 M €",13.0,268.0,"4,9 %"
FR1,AJ Auxerre,0.0,0.0,1.0,1.0,0.0,28,3,3,6,52,10.0,2.0,12.0,5.0,3.0,1.0,5.0,3.0,0.0,14.0,12.0,6.0,14.0,28.0,"71,10 M €","23,5","2,54 M €",14.0,241.0,"5,8 %"
FR1,FC Nantes,0.0,0.0,7.0,3.0,0.0,28,1,0,1,33,9.0,2.0,11.0,4.0,3.0,0.0,9.0,0.0,0.0,14.0,14.0,9.0,12.0,27.0,"92,55 M €","25,9","3,43 M €",14.0,221.0,"6,3 %"
FR1,FC Metz,0.0,0.0,4.0,4.0,0.0,20,2,1,3,33,11.0,0.0,12.0,6.0,0.0,4.0,6.0,3.0,1.0,17.0,16.0,9.0,22.0,28.0,"51,60 M €","25,0","1,84 M €",17.0,201.0,"8,5 %"
PO1,SC Braga,0.0,,,,,28,0,0,0,28,4.0,3.0,7.0,10.0,5.0,4.0,8.0,7.0,0.0,28.0,25.0,11.0,16.0,26.0,"136,90 M €","25,6","5,27 M €",26.0,280.0,"9,3 %"
PO1,FC Porto,1.0,,,,,32,0,1,1,35,0.0,0.0,1.0,14.0,5.0,10.0,10.0,3.0,0.0,33.0,35.0,14.0,20.0,28.0,"413,40 M €","26,0","14,76 M €",33.0,301.0,"11,0 %"
PO1,SL Benfica,2.0,,,,,31,1,1,2,39,0.0,1.0,3.0,13.0,4.0,8.0,10.0,8.0,0.0,33.0,33.0,11.0,16.0,25.0,"350,50 M €","24,6","14,02 M €",31.0,315.0,"9,8 %"
PO1,Sporting CP,3.0,,,,,35,1,0,1,40,1.0,0.0,4.0,14.0,7.0,15.0,14.0,3.0,0.0,42.0,44.0,12.0,13.0,25.0,"463,00 M €","25,5","18,52 M €",42.0,396.0,"10,6 %"
PO1,Avs - Futebol SAD,0.0,,,,,30,2,1,3,43,11.0,3.0,14.0,4.0,0.0,5.0,6.0,0.0,0.0,11.0,11.0,9.0,20.0,30.0,"14,35 M €","27,3",478 mil €,11.0,224.0,"4,9 %"
PO1,FC Alverca,1.0,,,,,32,1,2,3,43,8.0,1.0,10.0,6.0,2.0,1.0,7.0,2.0,0.0,16.0,15.0,8.0,23.0,30.0,"33,43 M €","24,1","1,11 M €",15.0,188.0,"8,0 %"
PO1,CF Estrela Amadora,2.0,,,,,35,1,1,2,43,6.0,3.0,11.0,4.0,3.0,4.0,5.0,3.0,1.0,20.0,20.0,8.0,20.0,27.0,"14,70 M €","24,9",544 mil €,17.0,256.0,"6,6 %"
PO1,GD Estoril Praia,1.0,,,,,44,0,0,0,44,6.0,4.0,11.0,9.0,1.0,10.0,10.0,2.0,0.0,27.0,23.0,10.0,15.0,26.0,"35,65 M €","25,9","1,37 M €",23.0,274.0,"8,4 %"
PO1,FC Famalicão,0.0,,,,,42,0,1,1,45,4.0,1.0,5.0,9.0,5.0,6.0,4.0,0.0,1.0,20.0,19.0,10.0,19.0,27.0,"71,40 M €","24,0","2,64 M €",18.0,299.0,"6,0 %"
PO1,Vitória SC,2.0,,,,,36,2,0,2,46,6.0,1.0,9.0,7.0,5.0,2.0,5.0,2.0,0.0,16.0,16.0,11.0,16.0,25.0,"26,60 M €","24,5","1,06 M €",16.0,305.0,"5,2 %"
PO1,Moreirense FC,1.0,,,,,39,1,1,2,47,6.0,2.0,9.0,9.0,6.0,4.0,9.0,0.0,0.0,21.0,21.0,12.0,16.0,26.0,"28,30 M €","25,8","1,09 M €",21.0,200.0,"10,5 %"
PO1,CD Santa Clara,0.0,,,,,41,1,2,3,52,7.0,2.0,9.0,6.0,2.0,1.0,3.0,5.0,0.0,11.0,11.0,6.0,17.0,23.0,"37,98 M €","27,2","1,65 M €",11.0,238.0,"4,6 %"
PO1,Rio Ave FC,1.0,,,,,38,1,3,4,52,4.0,3.0,8.0,9.0,2.0,2.0,9.0,2.0,0.0,19.0,18.0,4.0,27.0,29.0,"42,70 M €","24,6","1,47 M €",19.0,186.0,"10,2 %"
PO1,CD Nacional,2.0,,,,,33,2,3,5,52,7.0,2.0,11.0,9.0,3.0,6.0,3.0,4.0,0.0,17.0,17.0,5.0,23.0,31.0,"18,78 M €","26,1",606 mil €,17.0,249.0,"6,8 %"
PO1,Gil Vicente FC,0.0,,,,,40,2,1,3,53,3.0,1.0,4.0,11.0,3.0,8.0,4.0,2.0,2.0,21.0,21.0,8.0,17.0,25.0,"37,35 M €","24,6","1,49 M €",19.0,289.0,"6,6 %"
PO1,Casa Pia AC,1.0,,,,,48,1,0,1,53,8.0,4.0,13.0,6.0,4.0,5.0,3.0,1.0,0.0,16.0,15.0,11.0,22.0,31.0,"24,30 M €","26,8",784 mil €,16.0,180.0,"8,9 %"
PO1,CD Tondela,0.0,,,,,40,2,1,3,53,10.0,2.0,12.0,6.0,0.0,2.0,2.0,4.0,0.0,9.0,9.0,6.0,19.0,28.0,"20,65 M €","26,3",738 mil €,9.0,264.0,"3,4 %"
PO1,FC Arouca,1.0,,,,,31,3,3,6,55,8.0,2.0,11.0,6.0,4.0,4.0,9.0,0.0,0.0,17.0,17.0,7.0,20.0,26.0,"21,70 M €","24,8",835 mil €,15.0,210.0,"7,1 %"
PO1,,,,,,,0,39,2,31,"1,03",,,,,,,,,,,,,,,,,,,,
PO1,,,,,,,2,185,5,161,"1,08",,,,,,,,,,,,,,,,,,,,
PO1,,,,,,,5,262,7,224,"1,74",,,,,,,,,,,,,,,,,,,,
PO1,,,,,,,14,337,7,281,"1,79",,,,,,,,,,,,,,,,,,,,
NL1,PSV Eindhoven,11.0,13.0,0.0,0.0,0.0,22,0,1,1,25,1.0,0.0,3.0,16.0,10.0,11.0,21.0,2.0,1.0,52.0,51.0,14.0,17.0,26.0,"275,00 M €","25,0","10,58 M €",52.0,401.0,"13,0 %"
NL1,SC Heerenveen,2.0,2.0,0.0,0.0,2.0,23,0,2,2,29,6.0,4.0,11.0,11.0,1.0,9.0,12.0,3.0,0.0,29.0,27.0,11.0,13.0,25.0,"40,93 M €","23,9","1,64 M €",29.0,368.0,"7,9 %"
NL1,Sparta Rotterdam,1.0,1.0,0.0,0.0,1.0,27,1,1,2,35,8.0,1.0,9.0,9.0,2.0,3.0,8.0,3.0,1.0,18.0,18.0,9.0,9.0,26.0,"24,35 M €","26,6",937 mil €,18.0,302.0,"6,0 %"
NL1,Fortuna Sittard,1.0,1.0,0.0,0.0,0.0,42,1,0,1,47,8.0,2.0,11.0,9.0,5.0,1.0,11.0,2.0,0.0,25.0,25.0,8.0,18.0,28.0,"18,93 M €","26,5",676 mil €,25.0,320.0,"7,8 %"
NL1,Excelsior de Roterdão,1.0,1.0,0.0,0.0,0.0,22,2,1,3,35,9.0,1.0,10.0,10.0,3.0,2.0,6.0,2.0,0.0,16.0,16.0,9.0,10.0,27.0,"16,25 M €","23,6",602 mil €,16.0,268.0,"6,0 %"
NL1,SC Telstar,1.0,3.0,0.0,0.0,1.0,26,1,0,1,31,8.0,0.0,8.0,8.0,4.0,4.0,10.0,0.0,0.0,20.0,20.0,9.0,6.0,27.0,"8,70 M €","25,1",322 mil €,20.0,310.0,"6,5 %"
NL1,Feyenoord,0.0,1.0,2.0,0.0,0.0,19,1,2,3,30,4.0,2.0,7.0,13.0,7.0,14.0,17.0,2.0,1.0,42.0,42.0,13.0,19.0,32.0,"235,45 M €","25,0","7,36 M €",42.0,417.0,"10,1 %"
NL1,AFC Ajax,0.0,4.0,1.0,0.0,0.0,31,0,1,1,34,3.0,5.0,10.0,12.0,4.0,6.0,16.0,1.0,0.0,32.0,30.0,12.0,15.0,30.0,"187,70 M €","24,7","6,26 M €",32.0,333.0,"9,6 %"
NL1,NEC Nijmegen,0.0,6.0,2.0,0.0,0.0,29,2,1,3,42,4.0,3.0,10.0,12.0,8.0,7.0,22.0,3.0,0.0,43.0,40.0,16.0,16.0,29.0,"37,85 M €","26,5","1,31 M €",43.0,350.0,"12,3 %"
NL1,FC Groningen,0.0,3.0,1.0,0.0,0.0,23,0,2,2,29,6.0,3.0,10.0,8.0,3.0,6.0,8.0,3.0,2.0,25.0,25.0,10.0,12.0,27.0,"32,45 M €","23,9","1,20 M €",25.0,368.0,"6,8 %"
NL1,FC Twente,0.0,7.0,1.0,0.0,0.0,26,1,1,2,34,4.0,3.0,8.0,12.0,2.0,12.0,6.0,6.0,0.0,26.0,26.0,11.0,15.0,28.0,"57,45 M €","25,7","2,05 M €",26.0,428.0,"6,1 %"
