League,Round,Home,Away
FR1,17,Toulouse,Lens
FR1,17,Monaco,Olympique Lyon
FR1,17,OGC Nice,Estrasburgo
FR1,17,LOSC Lille,Rennes
FR1,17,Marselha,FC Nantes
FR1,17,Le Havre AC,Angers SCO
FR1,17,FC Lorient,FC Metz
FR1,17,Stade Brestois,AJ Auxerre
FR1,17,PSG,Paris FC
PO1,17,Gil Vicente,Sporting
PO1,17,Vitória SC,CD Nacional
PO1,17,Tondela,Arouca
PO1,17,Benfica,Estoril
PO1,17,E Amadora,Braga
PO1,17,AFS,Moreirense
PO1,17,Rio Ave,Casa Pia
PO1,17,Santa Clara,FC Porto
PO1,17,Alverca,Famalicão
NL1,18,NEC Nijmegen,FC Utrecht
NL1,18,AZ Alkmaar,FC Volendam
NL1,18,FC Twente,PEC Zwolle
NL1,18,PSV,Excelsior
NL1,18,Groningen,NAC Breda
NL1,18,Heerenveen,Feyenoord
NL1,18,Go Ahead Eagles,Fortuna Sittard
NL1,18,Telstar,Ajax
NL1,18,Sparta R,Heracles Almelo
GB1,20,Aston Villa,Nottm Forest
GB1,20,Brighton,FC Burnley
GB1,20,Wolves,West Ham
GB1,20,Bournemouth,Arsenal
GB1,20,Leeds,Man United
GB1,20,Everton,Brentford
GB1,20,FC Fulham,Liverpool
GB1,20,Newcastle,Crystal Palace
GB1,20,Tottenham,AFC Sunderland
GB1,20,Man City,Chelsea
ES1,18,Rayo VM,Getafe
ES1,18,Celta de Vigo,Valência
ES1,18,Osasuna,Athletic Bilbao
ES1,18,Elche,Villarreal
ES1,18,Espanyol,Barcelona
ES1,18,Sevilha FC,Levante
ES1,18,Real Madrid,Betis
ES1,18,Maiorca,Girona FC
ES1,18,Alavés,Real Oviedo
ES1,18,Real Sociedad,Atlético
L1,16,Frankfurt,Dortmund
L1,16,Friburgo,Hamburgo
L1,16,Werder Bremen,Hoffenheim
L1,16,U Berlim,Mainz
L1,16,St Pauli,Leipzig
L1,16,Heidenheim,Colónia
L1,16,Leverkusen,Estugarda
L1,16,Mgladbach,Augsburgo
L1,16,Bayern,Wolfsburgo
