Round,Home,Away,Score
15,Vitória SC,Sporting CP,1-4
15,SL Benfica,FC Famalicão,1-0
15,FC Alverca,FC Porto,0-3
15,CD Santa Clara,FC Arouca,0-0
15,CD Tondela,Casa Pia AC,1-2
15,Avs - Futebol SAD,CD Nacional,2-2
15,CF Estrela Amadora,Moreirense FC,0-0
15,Gil Vicente,Rio Ave FC,2-2
15,GD Estoril Praia,SC Braga,1-0
14,FC Porto,CF Estrela Amadora,3-1
14,SC Braga,CD Santa Clara,1-0
14,CD Nacional,CD Tondela,3-1
14,FC Arouca,FC Alverca,1-0
14,Moreirense FC,SL Benfica,0-4
14,FC Famalicão,GD Estoril Praia,4-0
14,Sporting CP,Avs - Futebol SAD,6-0
14,Rio Ave FC,Vitória SC,0-1
14,Casa Pia AC,Gil Vicente,1-1
13,Vitória SC,Gil Vicente,0-0
13,CD Tondela,FC Porto,0-2
13,FC Alverca,CD Nacional,1-0
13,CF Estrela Amadora,FC Arouca,3-1
13,GD Estoril Praia,Moreirense FC,3-3
13,FC Famalicão,SC Braga,1-2
13,Avs - Futebol SAD,Rio Ave FC,1-2
13,CD Santa Clara,Casa Pia AC,1-0
13,SL Benfica,Sporting CP,1-1
12,FC Arouca,SC Braga,0-4
12,FC Porto,GD Estoril Praia,1-0
12,Sporting CP,CF Estrela Amadora,4-0
12,Rio Ave FC,CD Santa Clara,1-1
12,Gil Vicente,CD Tondela,0-1
12,CD Nacional,SL Benfica,1-2
12,Casa Pia AC,FC Alverca,0-2
12,Moreirense FC,FC Famalicão,2-2
12,Vitória SC,Avs - Futebol SAD,4-0
11,SL Benfica,Casa Pia AC,2-2
11,SC Braga,Moreirense FC,2-1
11,FC Famalicão,FC Porto,0-1
11,Avs - Futebol SAD,Gil Vicente,1-1
11,CF Estrela Amadora,CD Nacional,1-1
11,CD Santa Clara,Sporting CP,1-2
11,CD Tondela,Vitória SC,0-1
11,FC Alverca,Rio Ave FC,1-1
11,GD Estoril Praia,FC Arouca,4-3
10,Gil Vicente,CD Santa Clara,1-0
10,FC Porto,SC Braga,2-1
10,FC Arouca,Moreirense FC,0-2
10,Avs - Futebol SAD,CD Tondela,2-2
10,Vitória SC,SL Benfica,0-3
10,Casa Pia AC,CF Estrela Amadora,3-5
10,Rio Ave FC,GD Estoril Praia,0-4
10,CD Nacional,FC Famalicão,0-1
10,Sporting CP,FC Alverca,2-0
9,Moreirense FC,FC Porto,1-2
9,SC Braga,Casa Pia AC,4-0
9,CD Tondela,Sporting CP,0-3
9,GD Estoril Praia,CD Nacional,1-1
9,FC Famalicão,Vitória SC,2-0
9,SL Benfica,FC Arouca,5-0
9,CF Estrela Amadora,Rio Ave FC,1-2
9,CD Santa Clara,Avs - Futebol SAD,2-0
9,FC Alverca,Gil Vicente,0-4
8,FC Porto,SL Benfica,0-0
8,Sporting CP,SC Braga,1-1
8,Rio Ave FC,CD Tondela,3-0
8,FC Arouca,FC Famalicão,1-1
8,Vitória SC,CD Santa Clara,2-1
8,Avs - Futebol SAD,FC Alverca,1-3
8,Gil Vicente,CF Estrela Amadora,2-0
8,CD Nacional,Moreirense FC,3-2
8,Casa Pia AC,GD Estoril Praia,2-2
7,FC Arouca,FC Porto,0-4
7,FC Famalicão,Rio Ave FC,0-0
7,SC Braga,CD Nacional,0-1
7,FC Alverca,Vitória SC,2-0
7,GD Estoril Praia,Sporting CP,0-1
7,CF Estrela Amadora,Avs - Futebol SAD,3-0
7,CD Santa Clara,CD Tondela,1-2
7,Moreirense FC,Casa Pia AC,2-1
7,SL Benfica,Gil Vicente,2-1
1,SL Benfica,Rio Ave FC,1-1
