Clube,Vitórias_x,Sem derrotas,Sem vitórias,Perdeu,A zero,Cartões amarelos,Duplo amarelo,Cartões vermelhos,Duplo amarelo,Pontos_x,Jogos a perder,Vitórias_3,Empate_x,Derrotas_x,Pontos_3,Jogos com liderança,Vitórias,Empate_4,Derrotas_4,Destros,Canhotos,Cabeceio,Penalidade,Tiro livre,Total,Golos total,Marcadores diferentes,Plantel,ø-Idade,Estrangeiros,ø-valor de mercado,Valor de mercado total,Remates à baliza,Golos,Taxa
FC Porto,6,14,0,0,0,31,1,0,1,34,1,1,0,0,3,13,13,0,0,9,9,4,3,0,30,30,13,25,"25,4",18,"16,31 M €","407,80 M €",285,30,"10,5 %"
Sporting CP,1,10,0,0,1,30,0,1,1,35,4,3,0,1,9,13,11,2,0,13,14,6,3,0,38,37,12,25,"25,4",13,"18,52 M €","463,00 M €",375,38,"10,1 %"
SL Benfica,1,14,0,0,1,31,1,1,2,39,3,2,1,0,7,12,9,3,0,10,8,3,7,0,30,30,11,25,"24,6",16,"14,02 M €","350,50 M €",304,30,"9,9 %"
FC Famalicão,1,1,0,0,1,41,1,0,1,44,4,0,1,3,1,9,6,2,1,4,6,5,0,1,18,18,10,27,"24,0",19,"2,64 M €","71,40 M €",262,18,"6,9 %"
Vitória SC,1,4,0,0,4,33,0,1,1,38,8,2,1,5,7,7,6,1,0,5,1,5,2,0,15,15,10,25,"24,4",16,"1,06 M €","26,60 M €",260,15,"5,8 %"
GD Estoril Praia,1,1,0,0,1,44,0,0,0,44,11,1,4,6,7,9,4,4,1,9,9,1,2,0,23,21,10,26,"25,8",15,"1,37 M €","35,65 M €",274,23,"8,4 %"
CD Nacional,1,1,0,0,0,33,3,2,5,52,10,2,1,7,7,9,4,2,3,2,5,3,4,0,15,15,5,31,"26,1",23,606 mil €,"18,78 M €",220,15,"6,8 %"
FC Arouca,1,1,0,0,1,29,3,3,6,53,11,1,2,8,5,6,3,2,1,8,3,4,0,0,15,15,7,26,"24,8",20,835 mil €,"21,70 M €",198,15,"7,6 %"
Gil Vicente FC,0,3,5,0,0,40,1,2,3,53,4,0,1,3,1,11,7,3,1,4,7,2,2,2,19,19,8,25,"24,6",17,"1,49 M €","37,35 M €",289,19,"6,6 %"
SC Braga,0,0,1,1,0,28,0,0,0,28,7,0,3,4,3,9,7,2,0,7,4,5,6,0,26,23,11,26,"25,5",16,"5,27 M €","136,90 M €",280,26,"9,3 %"
Moreirense FC,0,1,5,0,1,39,1,1,2,47,9,1,2,6,5,9,6,1,2,9,4,6,0,0,21,21,12,26,"25,8",16,"1,09 M €","28,30 M €",200,21,"10,5 %"
Rio Ave FC,0,1,2,0,0,38,3,1,4,52,8,1,3,4,6,9,3,6,0,9,2,2,2,0,19,18,4,29,"24,5",27,"1,47 M €","42,70 M €",186,19,"10,2 %"
FC Alverca,0,0,1,1,0,31,2,1,3,42,9,1,1,7,4,6,5,1,0,6,1,2,2,0,15,14,8,30,"24,2",23,"1,12 M €","33,73 M €",178,15,"8,4 %"
CD Santa Clara,0,0,1,1,0,39,2,1,3,50,9,0,2,7,2,6,4,0,2,3,1,2,5,0,11,11,6,23,"27,1",17,"1,65 M €","37,98 M €",225,11,"4,9 %"
CF Estrela Amadora,0,1,2,0,1,35,1,1,2,43,10,1,3,6,6,4,3,0,1,5,4,3,3,1,17,17,7,27,"24,9",20,544 mil €,"14,70 M €",256,17,"6,6 %"
Casa Pia AC,0,1,9,0,0,45,0,1,1,50,12,0,4,8,4,5,2,1,2,3,4,3,1,0,14,13,10,31,"26,8",22,784 mil €,"24,30 M €",163,14,"8,6 %"
CD Tondela,0,0,2,2,0,38,1,2,3,51,11,0,2,9,2,5,2,2,1,2,2,0,3,0,8,8,6,28,"26,2",19,738 mil €,"20,65 M €",248,8,"3,2 %"
Avs - Futebol SAD,0,0,14,3,0,29,1,1,2,37,14,0,3,11,3,3,0,2,1,5,4,0,0,0,9,9,7,30,"27,2",20,478 mil €,"14,35 M €",200,9,"4,5 %"
