Clube,Vitórias,Sem derrotas,Sem vitórias,Perdeu,A zero,Cartões amarelos,Cartões vermelhos,Duplo amarelo,Duplo amarelo,Pontos,Derrotas,Empate,Jogos a perder,Jogos com liderança,Cabeceio,Canhotos,Destros,Penalidade,Tiro livre,Total,Golos total,Marcadores diferentes,Estrangeiros,Plantel,Valor de mercado total,ø-Idade,ø-valor de mercado,Golos,Remates à baliza,Taxa
FC Barcelona,8,8,0,0,2,23,0,2,2,29,2,0,8,16,6,13,24,4,0,51,50,12,10,24,"1,12 mil M €","25,4","46,54 M €",51,483,"10,6 %"
RCD Espanyol,5,5,0,0,0,30,1,1,2,38,4,1,7,12,7,5,5,3,0,22,22,8,7,24,"107,20 M €","26,7","4,47 M €",22,301,"7,3 %"
Real Madrid CF,2,2,0,0,1,29,4,1,5,52,2,2,5,14,3,3,17,6,0,36,36,10,18,25,"1,38 mil M €","26,1","55,08 M €",36,483,"7,5 %"
Atlético de Madrid,2,2,0,0,1,30,1,1,2,38,3,0,5,17,2,11,8,2,2,33,30,11,16,24,"589,00 M €","27,8","24,54 M €",33,323,"10,2 %"
Real Bétis,1,2,0,0,2,32,1,0,1,37,3,3,7,11,6,6,11,1,0,29,28,11,12,26,"219,80 M €","28,8","8,45 M €",29,355,"8,2 %"
Elche CF,1,1,0,0,1,26,1,1,2,34,5,4,9,8,0,5,11,0,1,23,22,10,10,26,"101,10 M €","26,3","3,89 M €",23,266,"8,6 %"
CA Osasuna,1,1,0,0,1,36,2,1,3,49,9,1,11,9,4,4,4,3,1,17,17,8,4,23,"88,20 M €","28,0","3,83 M €",17,253,"6,7 %"
FC Villarreal,0,0,1,1,0,35,1,1,2,43,3,0,4,13,3,10,11,1,0,31,31,12,14,27,"269,70 M €","26,5","9,99 M €",31,297,"10,4 %"
Celta de Vigo,0,3,1,0,3,30,0,1,1,33,4,4,9,8,2,5,9,2,0,20,20,11,8,28,"140,40 M €","26,4","5,01 M €",20,243,"8,2 %"
Athletic Club,0,0,2,2,0,36,3,0,3,51,9,1,10,8,1,3,7,3,0,16,15,10,3,28,"303,00 M €","26,9","10,82 M €",16,331,"4,8 %"
Sevilha FC,0,0,1,1,0,52,1,1,2,60,9,1,10,9,1,6,7,2,0,24,22,14,15,27,"131,40 M €","27,8","4,87 M €",24,260,"9,2 %"
Getafe CF,0,0,3,3,0,41,2,1,3,54,9,1,10,8,4,3,4,0,0,13,13,6,10,22,"68,60 M €","28,4","3,12 M €",13,232,"5,6 %"
RCD Maiorca,0,4,1,0,0,31,1,2,3,42,7,3,11,7,4,7,4,2,0,19,19,8,9,24,"81,60 M €","27,8","3,40 M €",19,249,"7,6 %"
Deportivo Alavés,0,0,2,2,0,38,0,1,1,41,9,2,11,6,1,2,5,4,0,14,13,7,10,23,"69,50 M €","28,3","3,02 M €",14,261,"5,4 %"
Rayo Valhecano,0,0,7,1,0,43,2,1,3,56,7,2,9,6,2,4,4,1,0,13,13,8,13,25,"94,30 M €","28,9","3,77 M €",13,334,"3,9 %"
Real Sociedad,0,1,4,0,0,37,0,0,0,37,8,4,13,7,2,6,7,3,1,21,21,9,9,26,"250,70 M €","26,1","9,64 M €",21,316,"6,6 %"
Valência CF,0,1,4,0,0,31,1,0,1,36,7,4,11,6,4,4,6,0,0,16,16,7,11,23,"156,00 M €","27,4","6,78 M €",16,268,"6,0 %"
Girona FC,0,0,1,1,0,31,3,2,5,52,8,1,10,8,1,1,8,3,0,15,15,7,15,26,"146,50 M €","28,0","5,63 M €",15,210,"7,1 %"
Real Oviedo,0,1,10,0,1,28,4,3,7,57,10,1,12,4,1,1,2,1,0,7,7,6,15,26,"58,40 M €","28,9","2,25 M €",7,220,"3,2 %"
Levante UD,0,1,8,0,0,38,1,0,1,43,10,1,11,6,3,2,8,2,1,17,17,9,7,24,"85,50 M €","26,5","3,56 M €",17,229,"7,4 %"
