Clube,Vitórias,Sem derrotas,Sem vitórias,Perdeu,A zero,Cartões amarelos,Cartões vermelhos,Duplo amarelo,Duplo amarelo,Pontos,Derrotas,Empate,Jogos a perder,Jogos com liderança,Cabeceio,Canhotos,Destros,Penalidade,Tiro livre,Total,Golos total,Marcadores diferentes,Estrangeiros,Plantel,Valor de mercado total,ø-Idade,ø-valor de mercado,Golos,Remates à baliza,Taxa
RC Lens,6,6,0,0,1,27,2,1,3,40,3,0,5,12,8,8,4,3,0,28,27,10,10,27,"109,15 M €","25,4","4,04 M €",28,309,"9,1 %"
LOSC Lille,4,4,0,0,0,36,4,0,4,56,4,1,8,11,4,12,14,3,0,33,33,14,19,27,"235,00 M €","26,5","8,70 M €",33,312,"10,6 %"
FC Paris Saint-Germain,2,2,0,0,0,18,0,0,0,18,2,1,3,14,5,6,19,3,1,35,35,17,15,24,"1,19 mil M €","23,8","49,52 M €",35,390,"9,0 %"
FC Toulouse,2,3,0,0,2,37,1,0,1,42,5,4,10,8,4,3,11,4,0,24,23,8,16,24,"103,95 M €","23,8","4,33 M €",24,278,"8,6 %"
Angers SCO,2,2,0,0,0,22,1,0,1,27,6,4,10,7,2,5,6,2,0,17,16,8,13,26,"52,50 M €","25,1","2,02 M €",17,197,"8,6 %"
Olympique Marselha,1,1,0,0,1,33,2,0,2,43,4,2,8,13,3,8,17,4,1,36,35,12,24,28,"397,80 M €","27,0","14,21 M €",36,311,"11,6 %"
Olympique Lyon,1,1,0,0,1,26,3,2,5,47,5,0,6,11,5,4,11,0,0,22,21,11,23,27,"193,20 M €","25,3","7,16 M €",22,274,"8,0 %"
Stade Rennais FC,1,1,0,0,0,25,3,1,4,43,3,1,6,12,5,7,12,2,0,27,26,10,8,22,"188,80 M €","25,8","8,58 M €",27,262,"10,3 %"
RC Estrasburgo,0,1,4,0,1,31,3,1,4,49,7,1,8,11,5,4,12,2,0,25,25,11,23,28,"317,45 M €","22,7","11,34 M €",25,246,"10,2 %"
AS Monaco,0,0,2,2,0,37,3,1,4,55,7,1,9,8,5,7,6,4,0,26,24,10,19,28,"339,55 M €","25,1","12,13 M €",26,286,"9,1 %"
Stade Brestois 29,0,0,1,1,0,26,2,1,3,39,7,2,10,8,2,6,6,5,0,21,20,10,11,25,"83,40 M €","25,0","3,34 M €",,,
FC Lorient,0,5,1,0,2,32,1,0,1,37,6,2,9,8,2,3,11,1,0,19,18,8,19,26,"73,05 M €","25,5","2,81 M €",19,273,"7,0 %"
OGC Nice,0,0,6,6,0,32,1,1,2,40,9,0,9,9,2,5,6,2,0,19,17,9,20,29,"153,00 M €","25,9","5,28 M €",19,245,"7,8 %"
Paris FC,0,0,5,1,0,29,1,1,2,37,8,2,11,6,1,5,11,3,0,21,21,11,14,28,"91,25 M €","28,9","3,26 M €",21,286,"7,3 %"
Le Havre AC,0,0,6,1,0,28,1,0,1,33,7,3,10,4,2,2,7,1,0,13,13,7,16,26,"50,30 M €","25,9","1,93 M €",13,268,"4,9 %"
AJ Auxerre,0,0,1,1,0,28,3,3,6,52,10,2,12,5,3,1,5,3,0,14,12,6,14,28,"71,10 M €","23,5","2,54 M €",14,241,"5,8 %"
FC Nantes,0,0,7,3,0,28,1,0,1,33,9,2,11,4,3,0,9,0,0,14,14,9,12,27,"92,55 M €","25,9","3,43 M €",14,221,"6,3 %"
FC Metz,0,0,4,4,0,20,2,1,3,33,11,0,12,6,0,4,6,3,1,17,16,9,22,28,"51,60 M €","25,0","1,84 M €",17,201,"8,5 %"
