Clube,Vitórias,Sem derrotas,Sem vitórias,Perdeu,A zero,Cartões amarelos,Cartões vermelhos,Duplo amarelo,Duplo amarelo,Pontos,Derrotas,Empate,Jogos a perder,Jogos com liderança,Cabeceio,Canhotos,Destros,Penalidade,Tiro livre,Total,Golos total,Marcadores diferentes,Estrangeiros,Plantel,Valor de mercado total,ø-Idade,ø-valor de mercado,Golos,Remates à baliza,Taxa
Bayer Leverkusen,2,2,0,0,0,30,0,2,2,36,4,0,5,12,6,5,14,3,2,33,33,12,22,27,"430,45 M €","25,7","15,94 M €",33,301,"11,0 %"
FC Union Berlim,2,2,0,0,1,37,1,0,1,42,6,0,6,8,3,5,9,0,0,20,20,8,,,,,,20,270,"7,4 %"
FC Bayern Munique,1,15,0,0,1,33,0,0,0,33,0,2,4,14,7,15,20,6,0,55,54,13,13,26,"980,65 M €","26,5","37,72 M €",55,382,"14,4 %"
Borussia Dortmund,1,8,0,0,1,25,2,0,2,35,1,1,2,13,4,8,12,1,0,26,26,13,15,28,"511,40 M €","26,3","18,26 M €",26,246,"10,6 %"
SC Friburgo,1,2,0,0,0,19,1,1,2,27,5,2,9,9,2,3,12,4,1,25,23,11,11,27,"182,20 M €","27,5","6,75 M €",25,274,"9,1 %"
RB Leipzig,0,0,2,2,0,24,0,0,0,24,4,0,4,12,2,11,11,1,1,30,29,11,21,30,"409,55 M €","24,2","13,65 M €",30,335,"9,0 %"
TSG 1899 Hoffenheim,0,2,1,0,1,28,0,0,0,28,4,1,8,9,4,3,12,2,1,29,27,9,21,33,"203,35 M €","25,2","6,16 M €",29,261,"11,1 %"
VfB Estugarda,0,2,1,0,2,29,1,0,1,34,5,1,9,9,4,4,15,2,0,25,25,10,16,32,"342,90 M €","24,7","10,72 M €",25,321,"7,8 %"
Eintracht Frankfurt,0,2,1,0,0,23,0,0,0,23,4,4,9,8,5,11,11,2,0,30,30,13,19,30,"367,40 M €","25,3","12,25 M €",30,253,"11,9 %"
Werder Bremen,0,1,5,0,1,34,0,3,3,43,6,2,9,7,2,4,8,2,0,18,18,8,19,31,"187,30 M €","25,0","6,04 M €",18,254,"7,1 %"
FC Colónia,0,0,6,2,0,26,1,0,1,31,7,3,10,8,3,3,9,1,1,22,22,8,,,,,,22,261,"8,4 %"
Borussia Mönchengladbach,0,0,2,2,0,20,1,0,1,25,7,1,8,4,4,3,5,2,0,18,16,8,15,30,"149,15 M €","25,7","4,97 M €",18,240,"7,5 %"
Hamburgo SV,0,1,2,0,0,22,1,4,5,39,7,1,9,5,1,4,8,0,0,16,16,8,24,30,"129,45 M €","25,8","4,32 M €",16,268,"6,0 %"
VfL Wolfsburgo,0,0,1,1,0,26,0,1,1,29,8,1,9,10,3,9,7,1,1,23,23,10,22,29,"235,40 M €","25,9","8,12 M €",23,252,"9,1 %"
FC Augsburgo,0,1,2,0,1,42,0,1,1,45,9,0,9,7,3,6,6,1,0,17,17,12,18,29,"149,38 M €","25,6","5,15 M €",17,264,"6,4 %"
FC St. Pauli,0,3,1,0,1,25,1,0,1,30,9,2,12,4,2,2,5,1,1,13,13,8,23,29,"64,28 M €","25,8","2,22 M €",13,215,"6,0 %"
FC Heidenheim 1846,0,0,2,2,0,24,1,0,1,29,10,1,13,4,2,4,4,0,1,13,13,10,,,,,,,,
FSV Mainz 05,0,2,11,0,1,33,4,1,5,56,9,3,12,4,2,1,6,3,0,13,13,9,,,,,,,,
