Clube,Vitórias,Sem derrotas,Sem vitórias,Perdeu,A zero,Cartões amarelos,Cartões vermelhos,Duplo amarelo,Duplo amarelo,Pontos,Derrotas,Empate,Jogos a perder,Jogos com liderança,Cabeceio,Canhotos,Destros,Penalidade,Tiro livre,Total,Golos total,Marcadores diferentes,Estrangeiros,Plantel,Valor de mercado total,ø-Idade,ø-valor de mercado,Golos,Remates à baliza,Taxa
PSV Eindhoven,11,13,0,0,0,22,0,1,1,25,1,0,3,16,10,11,21,2,1,52,51,14,17,26,"275,00 M €","25,0","10,58 M €",52,401,"13,0 %"
SC Heerenveen,2,2,0,0,2,23,0,2,2,29,6,4,11,11,1,9,12,3,0,29,27,11,13,25,"40,93 M €","23,9","1,64 M €",29,368,"7,9 %"
Sparta Rotterdam,1,1,0,0,1,27,1,1,2,35,8,1,9,9,2,3,8,3,1,18,18,9,9,26,"24,35 M €","26,6",937 mil €,18,302,"6,0 %"
Fortuna Sittard,1,1,0,0,0,42,1,0,1,47,8,2,11,9,5,1,11,2,0,25,25,8,18,28,"18,93 M €","26,5",676 mil €,25,320,"7,8 %"
Excelsior de Roterdão,1,1,0,0,0,22,2,1,3,35,9,1,10,10,3,2,6,2,0,16,16,9,10,27,"16,25 M €","23,6",602 mil €,16,268,"6,0 %"
SC Telstar,1,3,0,0,1,26,1,0,1,31,8,0,8,8,4,4,10,0,0,20,20,9,6,27,"8,70 M €","25,1",322 mil €,20,310,"6,5 %"
Feyenoord,0,1,2,0,0,19,1,2,3,30,4,2,7,13,7,14,17,2,1,42,42,13,19,32,"235,45 M €","25,0","7,36 M €",42,417,"10,1 %"
AFC Ajax,0,4,1,0,0,31,0,1,1,34,3,5,10,12,4,6,16,1,0,32,30,12,16,31,"190,20 M €","24,7","6,14 M €",32,333,"9,6 %"
NEC Nijmegen,0,6,2,0,0,29,2,1,3,42,4,3,10,12,8,7,22,3,0,43,40,16,16,29,"37,85 M €","26,5","1,31 M €",43,350,"12,3 %"
FC Groningen,0,3,1,0,0,23,0,2,2,29,6,3,10,8,3,6,8,3,2,25,25,10,12,27,"32,45 M €","23,9","1,20 M €",25,368,"6,8 %"
FC Twente,0,7,1,0,0,26,1,1,2,34,4,3,8,12,2,12,6,6,0,26,26,11,15,27,"56,65 M €","25,5","2,10 M €",26,428,"6,1 %"
AZ Alkmaar,0,0,5,1,0,37,0,1,1,40,5,4,9,12,3,8,12,4,0,31,29,11,9,28,"145,93 M €","23,8","5,21 M €",31,364,"8,5 %"
FC Utrecht,0,0,5,1,0,23,0,0,0,23,6,3,10,10,9,8,9,0,0,28,28,14,18,30,"81,85 M €","25,3","2,73 M €",28,345,"8,1 %"
Go Ahead Eagles,0,1,5,0,0,22,1,1,2,30,6,6,12,10,5,8,9,1,0,26,24,11,16,38,"30,58 M €","23,6",805 mil €,26,237,"11,0 %"
PEC Zwolle,0,0,1,1,0,29,2,2,4,45,8,3,11,8,3,5,8,0,1,21,21,7,9,27,"22,35 M €","23,7",828 mil €,21,198,"10,6 %"
FC Volendam,0,0,5,4,0,21,1,0,1,26,9,4,14,7,3,5,8,1,0,19,19,11,9,29,"11,35 M €","24,3",391 mil €,19,253,"7,5 %"
Heracles Almelo,0,0,4,2,0,31,1,1,2,39,11,2,16,7,5,4,13,2,0,26,26,10,15,28,"13,73 M €","25,4",490 mil €,26,281,"9,3 %"
NAC Breda,0,0,6,1,0,27,3,1,4,45,10,2,13,8,2,5,5,2,0,16,15,7,18,31,"16,20 M €","25,9",523 mil €,16,336,"4,8 %"
