Round,Home,Result,Away
1,Bayern,6:0,Leipzig
1,Frankfurt,4:1,Werder Bremen
1,Leverkusen,1:2,Hoffenheim
1,Friburgo,1:3,Augsburgo
1,U. Berlim,2:1,Estugarda
1,Heidenheim,1:3,Wolfsburgo
1,St. Pauli,3:3,Dortmund
1,Mainz,0:1,Colónia
1,M'gladbach,0:0,Hamburgo
2,Hamburgo,0:2,St. Pauli
2,Leipzig,2:0,Heidenheim
2,Werder Bremen,3:3,Leverkusen
2,Estugarda,1:0,M'gladbach
2,Hoffenheim,1:3,Frankfurt
2,Augsburgo,2:3,Bayern
2,Wolfsburgo,1:1,Mainz
2,Dortmund,3:0,U. Berlim
2,Colónia,4:1,Friburgo
3,Leverkusen,3:1,Frankfurt
3,Friburgo,3:1,Estugarda
3,Mainz,0:1,Leipzig
3,Wolfsburgo,3:3,Colónia
3,U. Berlim,2:4,Hoffenheim
3,Heidenheim,0:2,Dortmund
3,Bayern,5:0,Hamburgo
3,St. Pauli,2:1,Augsburgo
3,M'gladbach,0:4,Werder Bremen
4,Estugarda,2:0,St. Pauli
4,Werder Bremen,0:3,Friburgo
4,Augsburgo,1:4,Mainz
4,Hoffenheim,1:4,Bayern
4,Hamburgo,2:1,Heidenheim
4,Leipzig,3:1,Colónia
4,Frankfurt,3:4,U. Berlim
4,Leverkusen,1:1,M'gladbach
4,Dortmund,1:0,Wolfsburgo
5,Bayern,4:0,Werder Bremen
5,Mainz,0:2,Dortmund
5,Wolfsburgo,0:1,Leipzig
5,St. Pauli,1:2,Leverkusen
5,Heidenheim,2:1,Augsburgo
5,M'gladbach,4:6,Frankfurt
5,Friburgo,1:1,Hoffenheim
5,Colónia,1:2,Estugarda
5,U. Berlim,0:0,Hamburgo
6,Hoffenheim,0:1,Colónia
6,Leverkusen,2:0,U. Berlim
6,Dortmund,1:1,Leipzig
6,Werder Bremen,1:0,St. Pauli
6,Augsburgo,3:1,Wolfsburgo
6,Frankfurt,0:3,Bayern
6,Estugarda,1:0,Heidenheim
6,Hamburgo,4:0,Mainz
6,M'gladbach,0:0,Friburgo
7,U. Berlim,3:1,M'gladbach
7,Mainz,3:4,Leverkusen
7,Leipzig,2:1,Hamburgo
7,Wolfsburgo,0:3,Estugarda
7,Heidenheim,2:2,Werder Bremen
7,Colónia,1:1,Augsburgo
7,Bayern,2:1,Dortmund
7,Friburgo,2:2,Frankfurt
7,St. Pauli,0:3,Hoffenheim
8,Werder Bremen,1:0,U. Berlim
8,Frankfurt,2:0,St. Pauli
8,M'gladbach,0:3,Bayern
8,Augsburgo,0:6,Leipzig
8,Hoffenheim,3:1,Heidenheim
8,Hamburgo,0:1,Wolfsburgo
8,Dortmund,1:0,Colónia
8,Leverkusen,2:0,Friburgo
8,Estugarda,2:1,Mainz
9,Augsburgo,0:1,Dortmund
9,Mainz,1:1,Werder Bremen
9,Leipzig,3:1,Estugarda
9,U. Berlim,0:0,Friburgo
9,St. Pauli,0:4,M'gladbach
9,Heidenheim,1:1,Frankfurt
9,Bayern,3:0,Leverkusen
9,Colónia,4:1,Hamburgo
9,Wolfsburgo,2:3,Hoffenheim
10,Werder Bremen,2:1,Wolfsburgo
10,Leverkusen,6:0,Heidenheim
10,U. Berlim,2:2,Bayern
10,Hoffenheim,3:1,Leipzig
10,Hamburgo,1:1,Dortmund
10,M'gladbach,3:1,Colónia
10,Friburgo,2:1,St. Pauli
10,Estugarda,3:2,Augsburgo
10,Frankfurt,1:0,Mainz
11,Mainz,1:1,Hoffenheim
11,Bayern,6:2,Friburgo
11,Dortmund,3:3,Estugarda
11,Wolfsburgo,1:3,Leverkusen
11,Augsburgo,1:0,Hamburgo
11,Heidenheim,0:3,M'gladbach
11,Colónia,3:4,Frankfurt
11,Leipzig,2:0,Werder Bremen
11,St. Pauli,0:1,U. Berlim
12,M'gladbach,0:0,Leipzig
12,Bayern,3:1,St. Pauli
12,Werder Bremen,1:1,Colónia
12,U. Berlim,1:2,Heidenheim
12,Hoffenheim,3:0,Augsburgo
12,Leverkusen,1:2,Dortmund
12,Hamburgo,2:1,Estugarda
12,Frankfurt,1:1,Wolfsburgo
12,Friburgo,4:0,Mainz
13,Mainz,0:1,M'gladbach
13,Estugarda,0:5,Bayern
13,Wolfsburgo,3:1,U. Berlim
13,Augsburgo,2:0,Leverkusen
13,Heidenheim,2:1,Friburgo
13,Colónia,1:1,St. Pauli
13,Leipzig,6:0,Frankfurt
13,Hamburgo,3:2,Werder Bremen
13,Dortmund,2:0,Hoffenheim
14,U. Berlim,3:1,Leipzig
14,Frankfurt,1:0,Augsburgo
14,M'gladbach,1:3,Wolfsburgo
14,St. Pauli,2:1,Heidenheim
14,Hoffenheim,4:1,Hamburgo
14,Leverkusen,2:0,Colónia
14,Friburgo,1:1,Dortmund
14,Bayern,2:2,Mainz
14,Werder Bremen,0:4,Estugarda
15,Dortmund,2:0,M'gladbach
15,Estugarda,0:0,Hoffenheim
15,Wolfsburgo,3:4,Friburgo
15,Augsburgo,0:0,Werder Bremen
15,Colónia,0:1,U. Berlim
15,Hamburgo,1:1,Frankfurt
15,Leipzig,1:3,Leverkusen
15,Mainz,0:0,St. Pauli
15,Heidenheim,0:4,Bayern
