Round,Home,Result,Away
1,Fortuna Sittard,2:2,Go Ahead Eagles
1,NEC Nijmegen,5:0,Excelsior
1,Feyenoord,2:0,NAC Breda
1,Heerenveen,1:1,FC Volendam
1,PSV,6:1,Sparta R.
1,PEC Zwolle,1:0,FC Twente
1,Ajax,2:0,Telstar
1,AZ Alkmaar,4:1,Groningen
1,FC Utrecht,4:0,Heracles Almelo
2,Telstar,0:2,PEC Zwolle
2,Excelsior,1:2,Feyenoord
2,Heracles Almelo,1:4,NEC Nijmegen
2,Groningen,2:1,Heerenveen
2,Go Ahead Eagles,2:2,Ajax
2,FC Twente,0:2,PSV
2,Sparta R.,2:1,FC Utrecht
2,FC Volendam,2:2,AZ Alkmaar
2,NAC Breda,2:1,Fortuna Sittard
3,Go Ahead Eagles,0:3,Sparta R.
3,PSV,4:2,Groningen
3,Telstar,2:2,FC Volendam
3,Heerenveen,1:2,FC Twente
3,FC Utrecht,4:1,Excelsior
3,NEC Nijmegen,3:0,NAC Breda
3,Ajax,2:0,Heracles Almelo
3,Feyenoord,2:0,Fortuna Sittard
3,AZ Alkmaar,2:2,PEC Zwolle
4,Groningen,4:0,Heracles Almelo
4,FC Volendam,1:1,Ajax
4,Heerenveen,2:2,Go Ahead Eagles
4,PSV,0:2,Telstar
4,Excelsior,1:0,FC Twente
4,Fortuna Sittard,3:2,NEC Nijmegen
4,PEC Zwolle,0:2,FC Utrecht
4,Sparta R.,0:4,Feyenoord
4,NAC Breda,0:1,AZ Alkmaar
5,Ajax,3:1,PEC Zwolle
5,Go Ahead Eagles,3:0,FC Volendam
5,NEC Nijmegen,3:5,PSV
5,FC Twente,2:2,NAC Breda
5,Feyenoord,1:0,Heerenveen
5,Excelsior,0:1,Sparta R.
5,FC Utrecht,0:1,Groningen
5,Heracles Almelo,1:2,AZ Alkmaar
5,Telstar,1:3,Fortuna Sittard
6,Sparta R.,1:5,FC Twente
6,FC Volendam,1:2,Excelsior
6,Groningen,2:0,Telstar
6,Fortuna Sittard,1:0,FC Utrecht
6,NAC Breda,2:1,Heracles Almelo
6,PEC Zwolle,0:2,Go Ahead Eagles
6,PSV,2:2,Ajax
6,Heerenveen,3:2,NEC Nijmegen
6,AZ Alkmaar,3:3,Feyenoord
7,FC Twente,3:2,Fortuna Sittard
7,Ajax,2:1,NAC Breda
7,FC Volendam,2:1,PEC Zwolle
7,Excelsior,1:2,PSV
7,Heracles Almelo,3:0,Sparta R.
7,NEC Nijmegen,2:1,AZ Alkmaar
7,Groningen,0:1,Feyenoord
7,FC Utrecht,2:2,Heerenveen
7,Telstar,4:2,Go Ahead Eagles
8,NAC Breda,1:2,Groningen
8,Sparta R.,3:3,Ajax
8,Fortuna Sittard,1:0,FC Volendam
8,PEC Zwolle,0:4,PSV
8,Heerenveen,2:1,Excelsior
8,FC Twente,2:1,Heracles Almelo
8,Feyenoord,3:2,FC Utrecht
8,AZ Alkmaar,2:1,Telstar
8,Go Ahead Eagles,1:1,NEC Nijmegen
9,NEC Nijmegen,3:3,FC Twente
