Round,Home,Result,Away
1,Girona FC,1:3,Rayo VM
1,Villarreal,2:0,Real Oviedo
1,Maiorca,0:3,Barcelona
1,Alavés,2:1,Levante
1,Valência,1:1,Real Sociedad
1,Celta de Vigo,0:2,Getafe
1,Athletic Bilbao,3:2,Sevilha FC
1,Espanyol,2:1,Atlético
1,Elche,1:1,Betis
1,Real Madrid,1:0,Osasuna
2,Betis,1:0,Alavés
2,Maiorca,1:1,Celta de Vigo
2,Atlético,1:1,Elche
2,Levante,2:3,Barcelona
2,Osasuna,1:0,Valência
2,Villarreal,5:0,Girona FC
2,Real Sociedad,2:2,Espanyol
2,Real Oviedo,0:3,Real Madrid
2,Athletic Bilbao,1:0,Rayo VM
2,Sevilha FC,1:2,Getafe
3,Elche,2:0,Levante
3,Valência,3:0,Getafe
3,Alavés,1:1,Atlético
3,Real Oviedo,1:0,Real Sociedad
3,Girona FC,0:2,Sevilha FC
3,Real Madrid,2:1,Maiorca
3,Celta de Vigo,1:1,Villarreal
3,Betis,1:2,Athletic Bilbao
3,Espanyol,1:0,Osasuna
3,Rayo VM,1:1,Barcelona
4,Sevilha FC,2:2,Elche
4,Getafe,2:0,Real Oviedo
4,Real Sociedad,1:2,Real Madrid
4,Athletic Bilbao,0:1,Alavés
4,Atlético,2:0,Villarreal
4,Celta de Vigo,1:1,Girona FC
4,Levante,2:2,Betis
4,Osasuna,2:0,Rayo VM
4,Barcelona,6:0,Valência
4,Espanyol,3:2,Maiorca
5,Betis,3:1,Real Sociedad
5,Girona FC,0:4,Levante
5,Real Madrid,2:0,Espanyol
5,Alavés,1:2,Sevilha FC
5,Villarreal,2:1,Osasuna
5,Valência,2:0,Athletic Bilbao
5,Rayo VM,1:1,Celta de Vigo
5,Maiorca,1:1,Atlético
5,Elche,1:0,Real Oviedo
5,Barcelona,3:0,Getafe
6,Celta de Vigo,1:1,Betis
6,Athletic Bilbao,1:1,Girona FC
6,Espanyol,2:2,Valência
6,Levante,1:4,Real Madrid
6,Sevilha FC,1:2,Villarreal
6,Getafe,1:1,Alavés
6,Real Sociedad,1:0,Maiorca
6,Atlético,3:2,Rayo VM
6,Osasuna,1:1,Elche
6,Real Oviedo,1:3,Barcelona
7,Girona FC,0:0,Espanyol
7,Getafe,1:1,Levante
7,Atlético,5:2,Real Madrid
7,Maiorca,1:0,Alavés
7,Villarreal,1:0,Athletic Bilbao
7,Rayo VM,0:1,Sevilha FC
7,Elche,2:1,Celta de Vigo
7,Barcelona,2:1,Real Sociedad
7,Betis,2:0,Osasuna
7,Valência,1:2,Real Oviedo
8,Osasuna,2:1,Getafe
8,Real Oviedo,0:2,Levante
8,Girona FC,2:1,Valência
8,Athletic Bilbao,2:1,Maiorca
8,Real Madrid,3:1,Villarreal
8,Alavés,3:1,Elche
8,Sevilha FC,4:1,Barcelona
8,Espanyol,1:2,Betis
8,Real Sociedad,0:1,Rayo VM
8,Celta de Vigo,1:1,Atlético
9,Real Oviedo,0:2,Espanyol
9,Sevilha FC,1:3,Maiorca
9,Barcelona,2:1,Girona FC
9,Villarreal,2:2,Betis
9,Atlético,1:0,Osasuna
9,Elche,0:0,Athletic Bilbao
9,Celta de Vigo,1:1,Real Sociedad
9,Levante,0:3,Rayo VM
9,Getafe,0:1,Real Madrid
9,Alavés,0:0,Valência
10,Real Sociedad,2:1,Sevilha FC
10,Girona FC,3:3,Real Oviedo
10,Espanyol,1:0,Elche
10,Athletic Bilbao,0:1,Getafe
10,Valência,0:2,Villarreal
10,Maiorca,1:1,Levante
10,Real Madrid,2:1,Barcelona
10,Osasuna,2:3,Celta de Vigo
10,Rayo VM,1:0,Alavés
10,Betis,0:2,Atlético
11,Getafe,2:1,Girona FC
11,Villarreal,4:0,Rayo VM
11,Atlético,3:0,Sevilha FC
11,Real Sociedad,3:2,Athletic Bilbao
11,Real Madrid,4:0,Valência
11,Levante,1:2,Celta de Vigo
11,Alavés,2:1,Espanyol
11,Barcelona,3:1,Elche
11,Betis,3:0,Maiorca
11,Real Oviedo,0:0,Osasuna
12,Elche,1:1,Real Sociedad
12,Girona FC,1:0,Alavés
12,Sevilha FC,1:0,Osasuna
12,Atlético,3:1,Levante
12,Espanyol,0:2,Villarreal
12,Athletic Bilbao,1:0,Real Oviedo
12,Rayo VM,0:0,Real Madrid
12,Valência,1:1,Betis
12,Maiorca,1:0,Getafe
12,Celta de Vigo,2:4,Barcelona
13,Valência,1:0,Levante
13,Alavés,0:1,Celta de Vigo
13,Barcelona,4:0,Athletic Bilbao
13,Osasuna,1:3,Real Sociedad
13,Villarreal,2:1,Maiorca
13,Real Oviedo,0:0,Rayo VM
13,Betis,1:1,Girona FC
13,Getafe,0:1,Atlético
13,Elche,2:2,Real Madrid
13,Espanyol,2:1,Sevilha FC
14,Getafe,1:0,Elche
14,Maiorca,2:2,Osasuna
14,Barcelona,3:1,Alavés
14,Levante,0:2,Athletic Bilbao
14,Atlético,2:0,Real Oviedo
14,Real Sociedad,2:3,Villarreal
14,Sevilha FC,0:2,Betis
14,Celta de Vigo,0:1,Espanyol
14,Girona FC,1:1,Real Madrid
14,Rayo VM,1:1,Valência
15,Real Oviedo,0:0,Maiorca
15,Villarreal,2:0,Getafe
15,Alavés,1:0,Real Sociedad
15,Betis,3:5,Barcelona
15,Athletic Bilbao,1:0,Atlético
15,Elche,3:0,Girona FC
15,Valência,1:1,Sevilha FC
15,Espanyol,1:0,Rayo VM
15,Real Madrid,0:2,Celta de Vigo
15,Osasuna,2:0,Levante
16,Real Sociedad,1:2,Girona FC
16,Atlético,2:1,Valência
16,Maiorca,3:1,Elche
16,Barcelona,2:0,Osasuna
16,Getafe,0:1,Espanyol
16,Sevilha FC,4:0,Real Oviedo
16,Celta de Vigo,2:0,Athletic Bilbao
16,Alavés,1:2,Real Madrid
16,Rayo VM,0:0,Betis
17,Valência,1:1,Maiorca
17,Real Oviedo,0:0,Celta de Vigo
17,Levante,1:1,Real Sociedad
17,Osasuna,3:0,Alavés
17,Real Madrid,2:0,Sevilha FC
17,Girona FC,0:3,Atlético
17,Villarreal,0:2,Barcelona
17,Elche,4:0,Rayo VM
17,Betis,4:0,Getafe
17,Athletic Bilbao,1:2,Espanyol
18,Rayo VM,1:1,Getafe
18,Celta de Vigo,4:1,Valência
18,Osasuna,1:1,Athletic Bilbao
18,Elche,1:3,Villarreal
18,Espanyol,0:2,Barcelona
18,Sevilha FC,0:3,Levante
19,Barcelona,3:1,Atlético
19,Athletic Bilbao,0:3,Real Madrid
