Round,Home,Result,Away
1,Casa Pia,0:2,Sporting
1,CD Nacional,0:2,Gil Vicente
1,Arouca,3:1,AFS
1,Famalicão,3:0,Santa Clara
1,Braga,3:0,Tondela
1,Moreirense,2:1,Alverca
1,Estoril,1:1,E. Amadora
1,FC Porto,3:0,Vitória SC
1,Benfica,1:1,Rio Ave
2,AFS,0:2,Casa Pia
2,Tondela,0:1,Famalicão
2,Vitória SC,3:2,Estoril
2,E. Amadora,0:1,Benfica
2,Rio Ave,1:1,CD Nacional
2,Alverca,0:3,Braga
2,Santa Clara,0:1,Moreirense
2,Sporting,6:0,Arouca
2,Gil Vicente,0:2,FC Porto
3,Moreirense,2:0,Vitória SC
3,CD Nacional,1:4,Sporting
3,Arouca,3:3,Rio Ave
3,Benfica,3:0,Tondela
3,Famalicão,0:0,Gil Vicente
3,FC Porto,4:0,Casa Pia
3,Braga,2:2,AFS
3,E. Amadora,2:2,Alverca
3,Estoril,0:1,Santa Clara
4,Gil Vicente,2:0,Moreirense
4,Casa Pia,0:2,CD Nacional
4,AFS,0:1,Famalicão
4,Vitória SC,1:1,Arouca
4,Sporting,1:2,FC Porto
4,Tondela,2:2,Estoril
4,Alverca,1:2,Benfica
4,Santa Clara,0:0,E. Amadora
4,Rio Ave,2:2,Braga
5,Alverca,1:0,Tondela
5,Benfica,1:1,Santa Clara
5,Moreirense,3:1,Rio Ave
5,Estoril,3:1,AFS
5,FC Porto,1:0,CD Nacional
5,Famalicão,1:2,Sporting
5,E. Amadora,0:2,Vitória SC
5,Arouca,0:2,Casa Pia
5,Braga,0:1,Gil Vicente
6,Rio Ave,0:3,FC Porto
6,Santa Clara,2:1,Alverca
6,CD Nacional,1:2,Arouca
6,AFS,0:3,Benfica
6,Vitória SC,1:1,Braga
6,Tondela,0:0,E. Amadora
6,Gil Vicente,2:0,Estoril
6,Casa Pia,1:1,Famalicão
6,Sporting,3:0,Moreirense
7,Benfica,2:1,Gil Vicente
7,Santa Clara,1:2,Tondela
7,Moreirense,2:1,Casa Pia
7,E. Amadora,3:0,AFS
7,Estoril,0:1,Sporting
7,Alverca,2:0,Vitória SC
7,Braga,0:1,CD Nacional
7,Famalicão,0:0,Rio Ave
7,Arouca,0:4,FC Porto
8,Casa Pia,2:2,Estoril
8,Gil Vicente,2:0,E. Amadora
8,CD Nacional,3:2,Moreirense
8,AFS,1:3,Alverca
8,Vitória SC,2:1,Santa Clara
8,Arouca,1:1,Famalicão
8,Rio Ave,3:0,Tondela
8,Sporting,1:1,Braga
8,FC Porto,0:0,Benfica
9,Alverca,0:4,Gil Vicente
9,Santa Clara,2:0,AFS
9,E. Amadora,1:2,Rio Ave
9,Benfica,5:0,Arouca
9,Estoril,1:1,CD Nacional
9,Famalicão,2:0,Vitória SC
9,Tondela,0:3,Sporting
9,Braga,4:0,Casa Pia
9,Moreirense,1:2,FC Porto
10,Sporting,2:0,Alverca
10,CD Nacional,0:1,Famalicão
10,Casa Pia,3:5,E. Amadora
10,Rio Ave,0:4,Estoril
10,Vitória SC,0:3,Benfica
10,AFS,2:2,Tondela
10,Arouca,0:2,Moreirense
10,FC Porto,2:1,Braga
10,Gil Vicente,1:0,Santa Clara
11,Estoril,4:3,Arouca
11,Alverca,1:1,Rio Ave
11,Tondela,0:1,Vitória SC
11,Santa Clara,1:2,Sporting
11,AFS,1:1,Gil Vicente
11,E. Amadora,1:1,CD Nacional
11,Famalicão,0:1,FC Porto
11,Braga,2:1,Moreirense
11,Benfica,2:2,Casa Pia
12,Vitória SC,4:0,AFS
12,Casa Pia,0:2,Alverca
12,Moreirense,2:2,Famalicão
12,CD Nacional,1:2,Benfica
12,Gil Vicente,0:1,Tondela
12,Rio Ave,1:1,Santa Clara
12,Sporting,4:0,E. Amadora
12,FC Porto,1:0,Estoril
12,Arouca,0:4,Braga
13,Benfica,1:1,Sporting
13,Santa Clara,1:0,Casa Pia
13,AFS,1:2,Rio Ave
13,Famalicão,1:2,Braga
13,Estoril,3:3,Moreirense
13,Alverca,1:0,CD Nacional
13,E. Amadora,3:1,Arouca
13,Tondela,0:2,FC Porto
13,Vitória SC,0:0,Gil Vicente
14,Casa Pia,1:1,Gil Vicente
14,Rio Ave,0:1,Vitória SC
14,Sporting,6:0,AFS
14,Famalicão,4:0,Estoril
14,Moreirense,0:4,Benfica
14,Arouca,1:0,Alverca
14,CD Nacional,3:1,Tondela
14,Braga,1:0,Santa Clara
14,FC Porto,3:1,E. Amadora
15,Estoril,1:0,Braga
15,Gil Vicente,2:2,Rio Ave
15,E. Amadora,0:0,Moreirense
15,AFS,2:2,CD Nacional
15,Tondela,1:2,Casa Pia
15,Santa Clara,0:0,Arouca
15,Alverca,0:3,FC Porto
15,Benfica,1:0,Famalicão
15,Vitória SC,1:4,Sporting
