Round,Home,Result,Away
1,Liverpool,4:2,Bournemouth
1,Aston Villa,0:0,Newcastle
1,Brighton,1:1,FC Fulham
1,AFC Sunderland,3:0,West Ham
1,Tottenham,3:0,FC Burnley
1,Wolves,0:4,Man City
1,Nott'm Forest,3:1,Brentford
1,Chelsea,0:0,Crystal Palace
1,Man. United,0:1,Arsenal
1,Leeds,1:0,Everton
2,West Ham,1:5,Chelsea
2,Man City,0:2,Tottenham
2,Bournemouth,1:0,Wolves
2,Brentford,1:0,Aston Villa
2,FC Burnley,2:0,AFC Sunderland
2,Arsenal,5:0,Leeds
2,Everton,2:0,Brighton
2,Crystal Palace,1:1,Nott'm Forest
2,FC Fulham,1:1,Man. United
2,Newcastle,2:3,Liverpool
3,Chelsea,2:0,FC Fulham
3,Man. United,3:2,FC Burnley
3,AFC Sunderland,2:1,Brentford
3,Tottenham,0:1,Bournemouth
3,Wolves,2:3,Everton
3,Leeds,0:0,Newcastle
3,Brighton,2:1,Man City
3,Nott'm Forest,0:3,West Ham
3,Liverpool,1:0,Arsenal
3,Aston Villa,0:3,Crystal Palace
4,Arsenal,3:0,Nott'm Forest
4,Bournemouth,2:1,Brighton
4,Crystal Palace,0:0,AFC Sunderland
4,Everton,0:0,Aston Villa
4,FC Fulham,1:0,Leeds
4,Newcastle,1:0,Wolves
4,West Ham,0:3,Tottenham
4,Brentford,2:2,Chelsea
4,FC Burnley,0:1,Liverpool
4,Man City,3:0,Man. United
5,Liverpool,2:1,Everton
5,Brighton,2:2,Tottenham
5,FC Burnley,1:1,Nott'm Forest
5,West Ham,1:2,Crystal Palace
5,Wolves,1:3,Leeds
5,Man. United,2:1,Chelsea
5,FC Fulham,3:1,Brentford
5,Bournemouth,0:0,Newcastle
5,AFC Sunderland,1:1,Aston Villa
5,Arsenal,1:1,Man City
6,Brentford,3:1,Man. United
6,Chelsea,1:3,Brighton
6,Crystal Palace,2:1,Liverpool
6,Leeds,2:2,Bournemouth
6,Man City,5:1,FC Burnley
6,Nott'm Forest,0:1,AFC Sunderland
6,Tottenham,1:1,Wolves
6,Aston Villa,3:1,FC Fulham
6,Newcastle,1:2,Arsenal
6,Everton,1:1,West Ham
7,Bournemouth,3:1,FC Fulham
7,Leeds,1:2,Tottenham
7,Arsenal,2:0,West Ham
7,Man. United,2:0,AFC Sunderland
7,Chelsea,2:1,Liverpool
7,Aston Villa,2:1,FC Burnley
7,Everton,2:1,Crystal Palace
7,Newcastle,2:0,Nott'm Forest
7,Wolves,1:1,Brighton
7,Brentford,0:1,Man City
8,Nott'm Forest,0:3,Chelsea
8,Brighton,2:1,Newcastle
8,FC Burnley,2:0,Leeds
8,Crystal Palace,3:3,Bournemouth
8,Man City,2:0,Everton
8,AFC Sunderland,2:0,Wolves
8,FC Fulham,0:1,Arsenal
8,Tottenham,1:2,Aston Villa
8,Liverpool,1:2,Man. United
8,West Ham,0:2,Brentford
9,Leeds,2:1,West Ham
9,Chelsea,1:2,AFC Sunderland
9,Newcastle,2:1,FC Fulham
9,Man. United,4:2,Brighton
9,Brentford,3:2,Liverpool
9,Arsenal,1:0,Crystal Palace
9,Aston Villa,1:0,Man City
9,Bournemouth,2:0,Nott'm Forest
9,Wolves,2:3,FC Burnley
9,Everton,0:3,Tottenham
10,Brighton,3:0,Leeds
10,FC Burnley,0:2,Arsenal
10,Crystal Palace,2:0,Brentford
10,FC Fulham,3:0,Wolves
10,Nott'm Forest,2:2,Man. United
10,Tottenham,0:1,Chelsea
10,Liverpool,2:0,Aston Villa
10,West Ham,3:1,Newcastle
10,Man City,3:1,Bournemouth
10,AFC Sunderland,1:1,Everton
11,Tottenham,2:2,Man. United
11,Everton,2:0,FC Fulham
11,West Ham,3:2,FC Burnley
11,AFC Sunderland,2:2,Arsenal
11,Chelsea,3:0,Wolves
11,Aston Villa,4:0,Bournemouth
11,Brentford,3:1,Newcastle
11,Crystal Palace,0:0,Brighton
11,Nott'm Forest,3:1,Leeds
11,Man City,3:0,Liverpool
12,FC Burnley,0:2,Chelsea
12,Bournemouth,2:2,West Ham
12,Brighton,2:1,Brentford
12,FC Fulham,1:0,AFC Sunderland
12,Liverpool,0:3,Nott'm Forest
12,Wolves,0:2,Crystal Palace
12,Newcastle,2:1,Man City
12,Leeds,1:2,Aston Villa
12,Arsenal,4:1,Tottenham
12,Man. United,0:1,Everton
13,Brentford,3:1,FC Burnley
13,Man City,3:2,Leeds
13,AFC Sunderland,3:2,Bournemouth
13,Everton,1:4,Newcastle
13,Tottenham,1:2,FC Fulham
13,Crystal Palace,1:2,Man. United
13,Aston Villa,1:0,Wolves
13,Nott'm Forest,0:2,Brighton
13,West Ham,0:2,Liverpool
13,Chelsea,1:1,Arsenal
14,Bournemouth,0:1,Everton
14,FC Fulham,4:5,Man City
14,Newcastle,2:2,Tottenham
14,Arsenal,2:0,Brentford
14,FC Burnley,0:1,Crystal Palace
14,Brighton,3:4,Aston Villa
14,Leeds,3:1,Chelsea
14,Liverpool,1:1,AFC Sunderland
14,Wolves,0:1,Nott'm Forest
14,Man. United,1:1,West Ham
15,Aston Villa,2:1,Arsenal
15,Bournemouth,0:0,Chelsea
15,Everton,3:0,Nott'm Forest
15,Man City,3:0,AFC Sunderland
15,Newcastle,2:1,FC Burnley
15,Tottenham,2:0,Brentford
15,Leeds,3:3,Liverpool
15,Brighton,1:1,West Ham
15,FC Fulham,1:2,Crystal Palace
15,Wolves,1:4,Man. United
16,Chelsea,2:0,Everton
16,Liverpool,2:0,Brighton
16,FC Burnley,2:3,FC Fulham
16,Arsenal,2:1,Wolves
16,Crystal Palace,0:3,Man City
16,Nott'm Forest,3:0,Tottenham
16,AFC Sunderland,1:0,Newcastle
16,West Ham,2:3,Aston Villa
16,Brentford,1:1,Leeds
16,Man. United,4:4,Bournemouth
17,Newcastle,2:2,Chelsea
17,Bournemouth,1:1,FC Burnley
17,Brighton,0:0,AFC Sunderland
17,Man City,3:0,West Ham
17,Wolves,0:2,Brentford
17,Tottenham,1:2,Liverpool
17,Everton,0:1,Arsenal
17,Leeds,4:1,Crystal Palace
17,Aston Villa,2:1,Man. United
17,FC Fulham,1:0,Nott'm Forest
18,Man. United,1:0,Newcastle
18,Nott'm Forest,1:2,Man City
18,Arsenal,2:1,Brighton
18,Brentford,4:1,Bournemouth
18,FC Burnley,0:0,Everton
18,Liverpool,2:1,Wolves
18,West Ham,0:1,FC Fulham
18,Chelsea,1:2,Aston Villa
18,AFC Sunderland,1:1,Leeds
18,Crystal Palace,0:1,Tottenham
19,FC Burnley,1:3,Newcastle
19,Chelsea,2:2,Bournemouth
19,Nott'm Forest,0:2,Everton
19,West Ham,2:2,Brighton
19,Arsenal,4:1,Aston Villa
19,Man. United,1:1,Wolves
19,Crystal Palace,1:1,FC Fulham
19,Liverpool,0:0,Leeds
19,Brentford,0:0,Tottenham
19,AFC Sunderland,0:0,Man City
20,Aston Villa,3:1,Nott'm Forest
20,Brighton,2:0,FC Burnley
20,Wolves,3:0,West Ham
20,Bournemouth,2:3,Arsenal
