File,Original_Name,Corrected_Name
All_Schedule_Combined.csv,Monaco,AS Monaco
All_Schedule_Combined.csv,PSG,FC Paris Saint-Germain
All_Schedule_Combined.csv,Arouca,FC Arouca
All_Schedule_Combined.csv,Villarreal,FC Villarreal
All_Schedule_Combined.csv,Toulouse,FC Toulouse
All_Schedule_Combined.csv,Leipzig,RB Leipzig
All_Schedule_Combined.csv,Colónia,FC Colónia
All_Schedule_Combined.csv,Friburgo,SC Friburgo
All_Schedule_Combined.csv,Excelsior,Excelsior de Roterdão
All_Schedule_Combined.csv,Newcastle,Newcastle United
All_Schedule_Combined.csv,U. Berlim,FC Union Berlim
All_Schedule_Combined.csv,Everton,FC Everton
All_Schedule_Combined.csv,Heerenveen,SC Heerenveen
All_Schedule_Combined.csv,Bournemouth,AFC Bournemouth
All_Schedule_Combined.csv,Man. United,Manchester United FC
All_Schedule_Combined.csv,Osasuna,CA Osasuna
All_Schedule_Combined.csv,Tottenham,Tottenham Hotspur
All_Schedule_Combined.csv,Atlético,Atlético Madrid
All_Schedule_Combined.csv,PSV,PSV Eindhoven
All_Schedule_Combined.csv,Mainz,FSV Mainz 05
All_Schedule_Combined.csv,Athletic Bilbao,Athletic Club
All_Schedule_Combined.csv,Ajax,AFC Ajax
All_Schedule_Combined.csv,Rennes,Stade Rennais FC
All_Schedule_Combined.csv,Benfica,SL Benfica
All_Schedule_Combined.csv,Lens,RC Lens
All_Schedule_Combined.csv,M'gladbach,Borussia Mönchengladbach
All_Schedule_Combined.csv,Hoffenheim,TSG 1899 Hoffenheim
All_Schedule_Combined.csv,Telstar,SC Telstar
All_Schedule_Combined.csv,Getafe,Getafe CF
All_Schedule_Combined.csv,Betis,Real Bétis
All_Schedule_Combined.csv,Chelsea,Chelsea FC
All_Schedule_Combined.csv,Aston Villa,Aston Villa FC
All_Schedule_Combined.csv,Gil Vicente,Gil Vicente FC
All_Schedule_Combined.csv,Estugarda,VfB Estugarda
All_Schedule_Combined.csv,Nott'm Forest,Nottingham Forest
All_Schedule_Combined.csv,Real Madrid,Real Madrid CF
All_Schedule_Combined.csv,Leverkusen,Bayer Leverkusen
All_Schedule_Combined.csv,Tondela,CD Tondela
All_Schedule_Combined.csv,Levante,Levante UD
All_Schedule_Combined.csv,E. Amadora,CF Estrela Amadora
All_Schedule_Combined.csv,Espanyol,RCD Espanyol
All_Schedule_Combined.csv,Frankfurt,Eintracht Frankfurt
All_Schedule_Combined.csv,Brighton,Brighton & Hove Albion
All_Schedule_Combined.csv,Man City,Manchester City FC
All_Schedule_Combined.csv,Elche,Elche CF
All_Schedule_Combined.csv,Barcelona,FC Barcelona
All_Schedule_Combined.csv,Crystal Palace,Crystal Palace FC
All_Schedule_Combined.csv,Brentford,Brentford FC
All_Schedule_Combined.csv,Sparta R.,Sparta Rotterdam
All_Schedule_Combined.csv,Wolfsburgo,VfL Wolfsburgo
All_Schedule_Combined.csv,West Ham,West Ham United
All_Schedule_Combined.csv,Hamburgo,Hamburgo SV
All_Schedule_Combined.csv,Famalicão,FC Famalicão
All_Schedule_Combined.csv,Marselha,Olympique Marselha
All_Schedule_Combined.csv,Arsenal,FC Arsenal
All_Schedule_Combined.csv,Sporting,Sporting CP
All_Schedule_Combined.csv,Rio Ave,Rio Ave FC
All_Schedule_Combined.csv,Wolves,Wolverhampton Wanderers
All_Schedule_Combined.csv,Stade Brestois,Stade Brestois 29
All_Schedule_Combined.csv,Santa Clara,CD Santa Clara
All_Schedule_Combined.csv,Estoril,GD Estoril Praia
All_Schedule_Combined.csv,Rayo VM,Rayo Valhecano
All_Schedule_Combined.csv,Alavés,Deportivo Alavés
All_Schedule_Combined.csv,Leeds,Leeds United FC
All_Schedule_Combined.csv,Dortmund,Borussia Dortmund
All_Schedule_Combined.csv,Casa Pia,Casa Pia AC
All_Schedule_Combined.csv,Augsburgo,FC Augsburgo
All_Schedule_Combined.csv,Groningen,FC Groningen
All_Schedule_Combined.csv,Braga,SC Braga
All_Schedule_Combined.csv,St. Pauli,FC St. Pauli
All_Schedule_Combined.csv,Bayern,Bayer Leverkusen
All_Schedule_Combined.csv,Valência,Valência CF
All_Schedule_Combined.csv,Estrasburgo,RC Estrasburgo
All_Schedule_Combined.csv,Heidenheim,FC Heidenheim 1846
All_Schedule_Combined.csv,Moreirense,Moreirense FC
All_Schedule_Combined.csv,AFS,Avs - Futebol SAD
All_Schedule_Combined.csv,Alverca,FC Alverca
All_Schedule_Combined.csv,Liverpool,Liverpool FC
All_Schedule_Combined.csv,Maiorca,RCD Maiorca
All_Proximos_Jogos.csv,Mgladbach,Borussia Mönchengladbach
All_Proximos_Jogos.csv,U Berlim,FC Union Berlim
All_Proximos_Jogos.csv,Sparta R,Sparta Rotterdam
All_Proximos_Jogos.csv,Nottm Forest,Nottingham Forest
All_Proximos_Jogos.csv,Man United,Manchester United FC
All_Proximos_Jogos.csv,E Amadora,CF Estrela Amadora
All_Proximos_Jogos.csv,St Pauli,FC St. Pauli
